"business_id","business_name","business_address","business_postal_code","business_latitude","business_longitude","business_location","business_phone_number","inspection_id","inspection_date","inspection_score","violation_id","violation_description","risk_category"
1341,"SPIKE'S COFFEES & TEAS","4117 19th St",94114,37.759253,-122.43503,"(37.759253, -122.43503)",14155625573,"1341_20160826","8/26/16",100,"","",""
5839,"ALICE FONG YU ELEMENTARY SCHOOL","1541 12th Ave",94122,37.759386,-122.469292,"(37.759386, -122.469292)",14155752764,"5839_20171010","10/10/17",100,"","",""
5926,"SAN FRANCISCO SCHOOL, THE","300 GAVEN St",94134,37.732518,-122.411648,"(37.732518, -122.411648)",14155235065,"5926_20160916","9/16/16",100,"","",""
65291,"CMPC - St. Lukes Cafeteria","3555 Cesar Chavez St",94110,37.748044,-122.42125,"(37.748044, -122.42125)",14155646596,"65291_20160413","4/13/16",100,"","",""
5804,"JUNIPERO SERRA ELEMENTARY SCHOOL","625 HOLLY PARK Cir",94110,37.736683,-122.421132,"(37.736683, -122.421132)",14155695685,"5804_20160411","4/11/16",100,"","",""
5634,"AT&T - COMMISARY KITCHEN [145184]","24 WILLIE MAYS PLAZA 1.24.06",94107,37.778382,-122.391151,"(37.778382, -122.391151)",14155971500,"5634_20160410","4/10/16",100,"","",""
4434,"NOE VALLEY BAKERY & BREAD CO.","4073 24th St",94114,37.751314,-122.433409,"(37.751314, -122.433409)",14155551405,"4434_20180529","5/29/18",100,"","",""
5848,"Ida B Wells Continuation High School","1099 Hayes St",94117,37.775443,-122.433977,"(37.775443, -122.433977)",14155246315,"5848_20161021","10/21/16",100,"","",""
5821,"MOSCONE ELEMENTARY SCHOOL","2576 HARRISON St",94110,37.756231,-122.412293,"(37.756231, -122.412293)",14155695736,"5821_20160919","9/19/16",100,"","",""
5889,"O'CONNELL HIGH SCHOOL","2355 FOLSOM St",94110,37.75962,-122.414674,"(37.75962, -122.414674)",14155695370,"5889_20160407","4/7/16",100,"","",""
64351,"Fatted Calf SF","320 Fell St",94102,37.775918,-122.423134,"(37.775918, -122.423134)",14155405614,"64351_20160613","6/13/16",100,"","",""
5912,"ARGONNE ALTERNATIVE ELEMENTARY SCHO","680 18th Ave",94118,37.775155,-122.476785,"(37.775155, -122.476785)",14155758460,"5912_20160516","5/16/16",100,"","",""
5605,"CALIF PACIFIC MEDICAL CTR - CART","2333 BUCHANAN St",94115,37.791426,-122.431039,"(37.791426, -122.431039)",14155923221,"5605_20161005","10/5/16",100,"","",""
5847,"John Muir Elementary School","380 Webster St",94117,37.774046,-122.429076,"(37.774046, -122.429076)",14155246335,"5847_20160823","8/23/16",100,"","",""
3769,"BURGER KING","35 POWELL St",94102,37.785094,-122.407785,"(37.785094, -122.407785)",14155511515,"3769_20160428","4/28/16",96,"","",""
5974,"RICHMOND SENIOR CENTER - 3RD FLOOR","6221 GEARY Blvd",94121,37.779943,-122.486199,"(37.779943, -122.486199)",14155756444,"5974_20180216","2/16/18",100,"","",""
5871,"CHAVEZ ELEMENTARY SCHOOL","825 SHOTWELL St",94110,37.754805,-122.415376,"(37.754805, -122.415376)",14155695765,"5871_20160919","9/19/16",100,"","",""
994,"RAILROAD EXPRESSO CAFE","705 \ Blvd",94127,37.731513,-122.45133,"(37.731513, -122.45133)",14155334009,"994_20160219","2/19/16",100,"","",""
19170,"Vino Rosso","629 Cortland Ave",94110,37.739041,-122.415636,"(37.739041, -122.415636)",14155641278,"19170_20180314","3/14/18",100,"","",""
5824,"S.F. International High School","1050 YORK St",94110,37.755257,-122.408455,"(37.755257, -122.408455)",14155695780,"5824_20160919","9/19/16",100,"","",""
5804,"JUNIPERO SERRA ELEMENTARY SCHOOL","625 HOLLY PARK Cir",94110,37.736683,-122.421132,"(37.736683, -122.421132)",14155695685,"5804_20160919","9/19/16",100,"","",""
3649,"SAFEWAY #1490","2300 16th St",94103,37.765708,-122.409002,"(37.765708, -122.409002)",14155571120,"3649_20170103","1/3/17",86,"","",""
5850,"Zaida T. Rodriguez (ZTR) Child Development Center","2950  Mission St",94110,37.749837,-122.418255,"(37.749837, -122.418255)",14155695844,"5850_20160829","8/29/16",100,"","",""
35591,"The Monk's Kettle","3141 16TH St",94103,37.764814,-122.422979,"(37.764814, -122.422979)",14155869523,"35591_20151229","12/29/15",100,"","",""
1265,"STARBUCKS COFFEE CO.","744 IRVING St",94122,37.764088,-122.465981,"(37.764088, -122.465981)",14155850888,"1265_20160603","6/3/16",98,"","",""
4667,"EMPIRE THEATRE","085 WEST PORTAL Ave",94127,37.739883,-122.466749,"(37.739883, -122.466749)",14155664950,"4667_20180830","8/30/18",100,"","",""
5907,"LILIENTHAL ELEMENTARY SCHOOL","3630 DIVISADERO St",94118,37.803537,-122.443547,"(37.803537, -122.443547)",14155743516,"5907_20161011","10/11/16",100,"","",""
4952,"CHEVRON STATIONS INC. #1727","2998 SAN JOSE Ave",94112,37.711558,-122.45561,"(37.711558, -122.45561)",14155581146,"4952_20160428","4/28/16",100,"","",""
4475,"Spot Light Market","298 Guerrero St",94103,37.766424,-122.424311,"(37.766424, -122.424311)",14155862778,"4475_20160502","5/2/16",100,"","",""
61500,"Happy Lounge","3745 Geary Blvd",94118,37.781143,-122.459709,"(37.781143, -122.459709)",14155662323,"61500_20160224","2/24/16",100,"","",""
5919,"SAN FRANCISCO DAY SCHOOL","350 MASONIC St",94118,37.777988,-122.446877,"(37.777988, -122.446877)",14155932422,"5919_20180323","3/23/18",100,"","",""
7449,"CHEVRON #1760","1298 HOWARD St",94103,37.775314,-122.412819,"(37.775314, -122.412819)",14155570290,"7449_20161031","10/31/16",100,"","",""
